"County 
(by population size) ",Type of Law,"Population
(2023)",Area,City,"Report Category 
(type of incident reported)","Notes 
(explanation of ordinances with dates on when proposed/created/enforced)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vallejo,Anecdote/Interview,"Vallejo has been heavily enforcing sweets, to the point of tragic loss when sweep killed a 58 year old man last December. Now the City Coucil has suspended anymore sweeps until April due to heavy critque of the policies. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara County,General Law,"441,257","2,738 sq mi
(7,091 km2)",Carpinteria,Past Ordinance,"Chapter 8.20 of the Carpinteria Municipal Code covers Sleeping and Camping. Although it does not specifiy what properties are designated for overnight camping, the municipal code does allow for overnight camping in those places. Otherwise, camping is not permitted and a violation is a misdemeanor or an infraction. Violators receive a warning prior to citation and are referred to services for persons experiencing homelessness, if appropriate. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Maria,Past Ordinance,"Section 6-1.02 Camping and storage of personal property in certain areas prohibited. This section largely bans overnight camping, whether inside or outside vehicles. Violation of this section of the code is a misdemeanor. The section does not prohibit camping in areas designated for such purposes for the City Council, but it does not specify in the code what those sections are. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Goleta,Past Ordinance,"Municipal Code §10.04.040 Sleeping, Camping, Use of a Recreational Vehicle for Occupancy on Any Public Street, Highway, Right-of-War or Any Public Property Within the City—Prohibited. Does not allow any overnight parking or camping in a trailer. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Solvang,Past Ordinance,"Chapter 6, Camping, §5-6-3 Camping on city property: Solvang still has a carveout in their municpal code for ""people who do not have any other permanent residence or domicile and/or are involuntarily homeless are not prohibited from camping on public property or rights-of-way, provided camping occurs in compliance with certain rules and regulations outlined in the code. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lompoc,Past Ordinance,"Past but very recent. Ordinance was passed on March 4, 2025. City Council banned personal belongins or camping on public property. New ordinances will prohibit camping on any public or private property with the exceptions of campgrounds and the permission of the private property owner; prohibit storing personal property in a way that obstructs doorways, sidewalsk, or other areas public property; prohibit a person from using their body to do the same; and prohibit camping, storing personal property, or taking up more space than one seated person in bust stop shelters or on bust stop benches. Council passed these new ordinance unanimously, 5-0 and cited the Grants Pass. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Solvang,Past Ordinance,"In October, 2023, Solvang Mayor Mark Infanti signed a new ordinance to allow RVs to be parked in residential neighborhoods and along city streets with restrictions. It had been previously been prohibited. Under the new ordinance, temprorary parking is permitted for 24 hours a a time on city-owned public property, excluding areas within Solvang's Tourism Commercial District. Overnight parking is still prohibited downtown, near schools, or in areas that impede traffic. Once a vehicle has been parked in the same place for more than 24 hours, it will be asked to relocate. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Barbara,Past Ordinance,"The Clean Community Division of the City of Santa Barbara facillitates a program called ""Clean SB"" dedicated to keeping the City clean through programs focused on litter clean up, illegal dumping, abandonded shopping carts, and encampments. The response team for this program consists of representaties from City Net (a contractor) and represenatives from throughout the City. The team works to connect unsheltered individuals with services, clean up encampments, and take enforcement action. The team typically provides 72 hours advance notice of clean ups. The city reports 1,191 encampment cleanups since 2019. Notably absent is the amount of people housed from these encampments. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Barbara,Past Ordinance,"Chapter 9.98: Pedestrians Blocking Public Sidewalks. No person shall stand, or sit, or congregate in or upon any street, sidewalk or crosswalk in the City with the intent to hinder or obstruct the free passage of pedestrians thereon, or to annoy or molest such pedestrians, or to block the entrance to a building, and refuse to disperse after having been ordered to do so by the police when the police reasonably believe an immediate threat to public safety is present. Penalty is a misdemenaor, and punishment of a fine not exceeding $500, imprisonment for a term not exceeding six months, or both. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Barbara,Past Ordinance,"Chapet 9.97: Sitting or Lying on Sidewalks and Paseos Along Certain Downtown Portions of State Street. Deisgnates specific parts in downtown Santa Barbara where it is prohibited to sit or lie down on a sidewalk or public paseo, or upon a blanket, chair, stool, or any other object between 7:00am and 2:00am. Unclear from the chapter what the punishment is but it does state that no one can be prosecuted for a violation of this chapter unless the person engaged in the prohibited conudct after having been notified by a law enforcement officer or other City-designated volunteer or employee. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Barbara,Past Ordinance,"Chapter 9.50: Prohibition of Abusive Panhandling. This ordinance restricts abusive panhandling across the city of Snata Barbara. Abusive panhandling is defined as blocking or impeding someone's movement, following someone, threateneing them, touching the person, among other things. Furthermore, the ordinance restricts active panhandling (a verbal request) in many locations like bus stops, in a vehicle, in a City parking lot, within 25 feet of a restaurant, among other things. Any person who violates the ordinance shall be guilty of a misdemeanor, fined at most $1,000, or imprisoned for no more than 6 months, or both. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Barbara,Policy Change,"**Santa Barbara County, Not City** In January of this year, in the wake of the Grants Pass decision, the Santa Barbara County Supervisors adopted some changes, though not radical shifts, to their approach to dealing with encapments. Newly approved procedures stiipulated that encapments may only be cleared if alternative shelter is avaliable, with exceptions for publcic safety. These exceptions include encapments in waterways or areas where the use of flammables near dry brush heightens the risk of fire. Policy changes also allow for less notice before encampments are cleared and a shorter duration for storing uncollected belgomings. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey County,General Law,"430,723","3,322 sq mi
(8,604 km2)",Salinas,"Proposed Ordinance, Anecdote/Interview","Article XIIII of Salinas Municipal code (passed October 10, 2017) prohibits storing unattended personal property on city land, limits attended property to a volume fitting within a 90-gallon container, and bans storing items that obstruct pathways, entrances, or violate ADA requirements. Article XIV (passed October 10, 2017) prohibits camping in public areas.
The city can impound personal property with notice, or immediately remove items that pose health or safety threats or block essential areas. Notices must detail the removal process, property descriptions, and how property can be reclaimed within 90 days before disposal. 
Additionally, the ordinance forbids attaching personal belongings to public or private property in a way that obstructs public movement, with immediate removal allowed.
The Salinas Homeless Union is one of the organizations based in Salinas advocates not only for visibly unhoused people but also for poor and vulnerable individuals living precariously according to the news of January 20, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seaside,"Past Ordinance, Anecdote/Interview","Chapter 9.20 of Seaside Municipal Code current through Ordinance 2010, passed October 7, 2021 prohibits people from using vehicles, campers, or trailers for sleeping, eating, or resting on public property in the city between 10:00 PM and 6:00 AM unless explicitly allowed by posted signs. Additionally, camping, sleeping, or erecting tents or any temporary sleeping facilities on city-owned public property is banned entirely. Violations are punishable as infractions.
The city has a homeless commission, and its meeting on March 5, 2025 reviewed its Annual Work Plan for the fiscal year of 2024-2025, which was adopted April 3, 2024. The commission will focus on expanding housing and emergency support, strengthening community partnerships, and enhancing services for the unhoused. Key initiatives include: identifying new transitional housing sites, advocating for rental assistance, improving safe parking programs, collaborating with food and youth support organizations, and exploring mobile hygiene services. The commission will also seek funding opportunities, host community forums, and push for policy changes to prevent and address homelessness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Monterey,"Past Ordinance, Proposed Ordinance","The ""Homeless Response"" page of City of Monterey accessed on February 23, 2025 listed related City Codes, which addresses various regulations concerning motor vehicles, public conduct, parks, streets, and sidewalks to maintain community safety and order. 
Chapter 22 outlines general offenses, including prohibitions against trespassing on private property (22-25.5 MCC), which requires clear signage as determined by the MPD; public urination or defecation (22-15 MCC); consumption or possession of open alcohol containers in public spaces, except for designated beach areas from 6 a.m. to 10 p.m. (22-1 MCC); a curfew for minors after 11 p.m. (22-5 MCC); and loitering in parking facilities (22-26 MCC). 
Chapter 23 specifies that camping is only allowed within designated park areas (23-3a MCC), while Chapter 32 restricts littering (32-1 MCC), obstructing streets or sidewalks (32-6.1 MCC), and sitting or lying on commercial sidewalks during certain hours (32-6.2 MCC). 
Additionally, Chapter 20 prohibits camping inside vehicles parked on public property between 10 p.m. and 6 a.m. (20-85.5 MCC).
A meeting on March 4, 2025 proposed ordinance aims to regulate homeless encampments on public property by prohibiting camping in certain areas, such as sidewalks near schools, areas near a local cemetery, and high-to-very-high fire hazard zones, as reported on March 5, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Soledad,"Past Ordinance, Anecdote/Interview","Chapter 12 as passed June 15, 2024 contains 12.12.050, which prescribes that loitering and threatening, abusive or insulting language, disorderly conduct, or lewd and lascivious acts prohibited. It is unlawful for any person to engage in or have the purpose of engaging in threatening, abusive or insulting language, disorderly conduct, or lewd and lascivious acts tending to a breach of the public peace and enjoyment of park and recreation areas.
There are local news on state encampment funding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marina,Past Ordinance,"Ch 10.40.180 of Marina Municipal Code as current of November 19, 2024 states that no person shall stop, stand, park, or leave stored any vehicle or camp in any vehicle between 1 a.m. and 6 a.m. on any day of the week in areas designated by city council resolution.
There are emergency shelder Emergency shelters are permitted by right in the R-4 (Multiple-Family) and C-R (Mixed Commercial-Residential Use) zones.
The city defines emergency shelters as ""housing with minimal supportive services for homeless persons that is limited to occupancy of six months or less by a homeless person"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Greenfield,"Anecdote/Interview, Past Ordinance","There seems to be no specific related ordiance in Greenfield. Nevertheless, Chapter 17.80 as recorded on October 17, 2017 addresses emergency shelters and transitional housing facilities. There are news on the homeless encampment on fire, gun shot with victim from homeless encampment and police arrest of individuals for trespassing and disturbance of peace.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pacific Grove,Proposed Ordinance,"Chapter 18.36 as passed October 16, 2024 prohibits parking of any trailer or motor vehicle between midnight and 5 AM. Chapter 11.09 (same date) prohibits loitering obstructing free passage and business entrances. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,King City,Past Ordinance,"Article 4 of Chapter 7.51 passed in 2017 governs nuicanse related activities, prohibiting sleep or camp in any public right-of-way (streets, alleys, roadways, medians, canals, rivers), in public parks, trails, or grounds of public facilitie, on unimproved private lots without owner permission, on private, commercial, or industrial property without owner permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gonzales,"Past Ordinance, Anecdote/Interview","Chapter 5.32.050 of Gonzales City Code passed in 1972 prohibits littering in city parks. There are news that on August 1st 2024, the city closed Vic West and Irving Parks to sheltering, leaving Gonzales Beach, Pemberton, and Oaklands Parks as the only three parks open to sheltering. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Carmel-by-the-Sea,"Past Ordinance, Proposed Ordinance","Chapter 15.57 of Carmel-by-the-Sea City Code passed July 9, 2024 allow the city to declare certain conditions as nuisances. It also addresses abandoned vehicles and accumulated waste.
First reading passed, according to the news, for the amendment of the current ordinance on camping on March 4, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Del Rey Oaks,Past Ordinance,"Passed on August 23, 2016, in Del Rey Oaks City Code, under § 9.06.010, camping is prohibited anywhere in Del Rey Oaks unless expressly permitted. Camping includes sleeping outdoors, in vehicles, or in structures not intended for human occupancy between 11:00 p.m. and 8:30 a.m., setting up bedding for immediate sleeping use during those hours, or establishing a campsite with sleeping or cooking equipment at any time with the intent to stay overnight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sand City,Past Ordinance,"As of February 20, 2024, in Sand City, California, Ordinance No. 69-63, established regulations prohibiting sleeping in vehicles and camping on public property. Specifically, Section 9.12.010 makes it unlawful for any person to sleep in any vehicle parked on public streets, alleys, or parking areas, as well as privately owned parking areas designated for business customers, between 6:00 p.m. and 6:00 a.m. 
Section 9.12.020 prohibits camping or the placement, erection, or maintenance of tents, house trailers, campers, or other sleeping facilities on any public property within the city.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer County,Charter,"423,561","1,407 sq mi
(3,644 km2)",Auburn,Past Ordinance,"Section 102 of Auburn Municipal Code, passed October 23, 2017, on generally prohibits camping on both public and private property. Loitering was prohibited under Section 130.110, passed on October 8, 2018. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Colfax,Past Ordinance,"Under §8.24 passed 2012, September 16, it is unlawful and a public nuisance for any person to camp, occupy camp facilities, or use camp paraphernalia in both public and private areas, with some exceptions on the private areas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lincoln,Past Ordinance,"Under § 9.40.020, camping is prohibited within 500 feet of schools, playgrounds, daycares, and youth centers. Campsites cannot exceed 100 square feet, and encampments (four or more people camping together) are not allowed. Fires, including those using propane, are prohibited outside designated areas in public parks. Camping in unsafe structures, blocking public facilities, or attaching camping paraphernalia to public property is also not permitted. Camping on private property requires the owner's consent. Under § 9.40.030, authorities may seize personal property from illegal campsites after providing a 72-hour notice, and the property will be stored for 90 days before disposal. According to § 9.40.050, violations are considered public nuisances and may result in property seizure and enforcement actions, but no monetary fines are imposed.
Under § 20.20.090 as current for December 17, 2024, person conducting loitering and refusal to comply with regulations would be considered as a ""trespasser.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Roseville,Past Ordinance,"No later than March 20, 2024, the Roseville City Code prohibits campaigning in public space unless permitted by the parks and recreation director. It is unlawful to camp or squat on city-owned public property, including streets, parks, creekbeds, utility substations, and parking lots. Setting up tents, trailers, motorhomes, or any other shelter for overnight use is not allowed, nor is leaving a movable structure for such purposes. Additionally, under this section, it is unlawful to sleep in a vehicle parked on a public street, alley, or private business parking area without the owner’s consent between sunset and sunrise. Violations may be charged as either an infraction or misdemeanor at the discretion of the city attorney under § 10.56.010.
§ 10.34.020 (passed 1986) also prohibits loitering.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rocklin,Past Ordinance,"Passed August 8, 2017, Section 9.24.030 of Rocklin Municipal Code governs unlawful camping. In Rocklin, camping is prohibited on both public and private property unless specifically allowed by Sections 9.24.040 and 9.24.050. Temporary occupation (up to 12 hours) is permitted as an affirmative defense. Even authorized camping must not create noise, inadequate sanitation, involve open flames, or pose safety risks (§ 9.24.030).
As current for February 13, 2025, Section 9.16.020 prohibits loitering on incorporated area of the city of Rocklin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Loomis,"Past Ordinance, Anecdote/Interview","As current for November 12, 2024, the Loomis City Code governs unlawful loitering. Under § 7.20.020, wrongful loitering is prohibited, including obstructing pedestrian or vehicle passage, staying on public or private property after business hours without permission, remaining on business premises after being asked to leave, or staying on residential property without the owner's consent.
The community raised concern over transient-related incidents reported to the police, which concerns a trend of homelessness as reported November 13, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced County,General Law,"291,920","1,929 sq mi
(4,996 km2)",Merced,Proposed Ordinance,"The city of Merced adopted a strict camping ordinance, punishable by fines, escelating to jail time. Unclera whether this will be used. $50 for first offense, $150 for second offense, and $300 for each additional, if they're within 12 months of initial offense. Individuals may also be banned for trespassing from areas, or jailed for up to 30 days. Includes storage of personal property.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dos Palos,Proposed Ordinance,"Dos Palos adopted a camping ordinance under a nuisance abatement scheme, where encampments will be delcared a nuisance, and swept after a 72-hour notice. Violation of the ordinance will be a misdemeanor. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Los Banos,Proposed Ordinance,"Los Banos accepted the state's Encampment Resolution Funds and passed a camping ordinance in October. The ordinance hasn't been published in the online municipal code yet (most recent version of September 2024), but city council discussion shows the preservation of a single area for encampments to exist. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Livingston,Past Ordinance,"Livingston adopted a camping ordinance in 2017 that is the same as the post-Grants Pass ordinances. In October 2024, the city council discussed other cities amending their codes post-Grants Pass. Unclear why, because they already have one. Possible re-uptake of enforcement here. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Atwater,Past Ordinance,"In 2017, Atwater passed a camping ordinance that looks very similar to the ones adopted post-Grants Pass. It's presumably gone unenforced since Martin. Unclear if they have/will re-up enforcement. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gustine,Proposed Ordinance,"As of September, Gustine began drafting a camping ordinance. Follow-up unclear. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo County,General Law,"281,639","3,304 sq mi
(8,557 km2)",Arroyo Grande,Past Ordinance,"Arroyo Grande has a 2004 camping ordinance on the books. Chapter 9.22. Pretty similar to the ones that have been enacted post-Grants Pass (banning encampments/paraphernalia in public space, overnight), but it's unclera how enforcement has changed (if it has resumed) post-Grants Pass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Morro Bay,"Past Ordinance, Anecdote/Interview","Morro Bay had a camping ordinance enacted between Martin and Grants pass, that prohibited camping for more than 24 hours An article covering that ordinance interviews unhoused residents who say that it did not help them into services or housing at all, even though that was the stated purpose of the law. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Grover Beach,Past Ordinance,"Grover Beach, like Morro Bay, enacted an ordinance between martin and Grants Pass, basically allowing enforcement of encampments without an absolute ban. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Atascadero,Past Ordinance,"Atascadero has an ordinance that was adopted in 2023, post Martin, so is in line. It requires that the city offer a bed, and doesn’t outright ban camping, just limits the locations (knowing nothing about Atascadero, it does seem like most feasible locations are banned). § 5-15. An interview with the Atascadero police chief said that he felt Atascadero was ""leading th way,"" and very in-line with Newsom's encampment clearance orders, despite not updating the ordinance post-Grants Pass. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San Luis Obispo,Proposed Ordinance,"An article shortly following Grants Pass said that the city of San Luis Obispo had begun analyzing a camping ordinance soon after Grants Pass was decided, but I haven't seen any follow-up. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paso Robles,Proposed Ordinance,"New ordinance has passed, very shortly after Grants Pass, banning camping. §7.5. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz County,General Law,"261,547","446 sq mi
(1,155 km2)",Santa Cruz ,Past Ordinance,Currently unchanged with pre-Grants Pass because it is still illegal to camp in public when there is an available bed in homeless shelter [New policy expected June 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Santa Cruz ,Statistics,"The homeless population is going down and shelter beds are going up, there are 345 beds available and 2 camps that have space for 165 tents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Watsonville,Statistics, 60% increase in homelessness from 2023-2024 in Watsonville [the population went down in Santa Cruz because they relocated to Watsonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin County,General Law,"254,407","520 sq mi
(1,347 km2)",Fairfax,Proposed Ordinance,"Late 2024 They want to develop an anti-camping ordinance that would: Prohibit camping in town parks; include a specific effective date; Align with current legal precedent; Implement a coordinated transition plan including offering available shelter beds to current encampment residents, setting a clear departure date from the park, ensuring continuity of case management services through the High Utilizer Case Management program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Statistics,"1,090 Homeless people, 161 shelter beds in Marin County in 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,San Rafael ,"Past Ordinance, Proposed Ordinance","Effective on October 3, 2024.  allowing campsites of up to 200 sq. ft. for one person and 400 sq. ft. for up to 4 people camping togetherr (doubling of individuals size) and specific restrictions on where camping is completely illegal (like schools) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Novato,Proposed Ordinance,Feb 2025 Novato City Council unanimously approved the permanent closure of the Temporary Camp at Lee Gerner Park and authorized an agreement for construction services to clean up and restore the park for community recreational use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo County,General Law,"220,544","1,012 sq mi
(2,621 km2)",Davis,Past Ordinance,Unlawful to camp/use camp paraphernalia (including sleeping bags) on public property & private property with exceptions. This is an expansion of the previous code which was limited to public parks/open spaces and more narrowly defined camping. Adopted 12/3/2024 (post-Grants Pass),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,West Sacramento,Past Ordinance,"Prohibits camping on public property & private property with exceptions + campfires + storing personal property in public. Adopted pre-Grants Pass. Contains an interesting paragraph in the purpose section: ""In enacting this chapter, the city is cognizant that unauthorized camping may be used by homeless persons as a form of housing. The city also recognizes that homeless persons are entitled to be treated with the same human dignity as all city residents. It is, therefore, the city's goal, when circumstances permit, to implement a coordinated approach to addressing unauthorized camping under this chapter, which may include offering referrals to housing alternatives and social services available within the city and Yolo County prior to or concurrent with initiating enforcement activities under this chapter.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Winters,Past Ordinance,Prohibits overnight camping without a permit (pre-Grants Pass).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Winters,Proposed Ordinance,"In early 2024, city council considered an ordinance prohibiting camping on public property between 8am and 8pm because of environmental & safety concerns with creekside camping. Minutes specifically note that the councils should ""consider what activities are allowed so that the ordinance can be applied fairly without regard to housing status."" This doesn't seem to have gone anywhere.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Woodland ,Past Ordinance,"Prohibits camping on public property to ""protect public and private property within the City from the destruction that accompanies camping."" Adopted 11/5/2024 (post-Grants Pass). City already had an ordinance banning ""encampments"" that was adopted in 2019, so this new law expands the ban to any form of ""camping,"" including laying out a sleeping bag.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte County,Charter,"207,172","1,640 sq mi
(4,248 km2)",Chico,Past Ordinance,"Prohibits camping and storing personal property in public spaces. ""Camp"" means ""to place, pitch or occupy camp facilitiesfor, in light of all the circumstances, the apparent purpose of overnight occupancy, in a public park or other public property. Apparent overnight occupancy includes sleeping activities or making preparations to sleep (including the laying down of bedding for the purpose of sleeping). The act of sleeping on its own does not constitute camping."" Before citing the person or making an arrest, an officer must direct an unsheltered person to a shelter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Chico,Proposed Ordinance,"Not exactly a proposed ordinance, but will likely lead to an amendment. In light of the Grants Pass decision, the city is currently trying to get out of its previous settlement in Warren v. Chico. The settlement terms included amending the ordinance, specifically the enforcement provision, to the above to align with Martin v. Boise. The city also had to agree to maintain certain shelter conditions, establish an ""alternative camping site"" for unhoused people not eligible to stay in the shelters to camp using tents, and report to the plaintiffs' counsel (Legal Services of Northern California) before seizing property or clearing an encampment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gridley,Past Ordinance,Prohibits overnight camping in city parks. Adopted 1991.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paradise,Past Ordinance,Camping prohibited in city park. Adopted 4/24/2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oroville ,Past Ordinance,Prohibits overnight camping in city parks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado County,Charter,"192,215","1,712 sq mi
(4,434 km2)",,Proposed Ordinance,"Jan. 2025: El Dorado County is currently considering a new ordinance to regulate camping, sleeping, sitting, lying, and storage of personal property on private and public property. Under Article XI, Section 7 of the California Constitution and Section 210 of the Charter of the County of El Dorado, this ordinance, if passed, would aim to:

1. Address unauthorized camping across public lands, private properties, forests, and parks.
2. Reduce ""wildfire risks"" associated with unauthorized camping. Also aims to ""prevent pollution of critical waterways,"" such as the South Fork American River and the Lake Tahoe Basin.
3. Establish county-wide regulations to safeguard public health, safety, and the environment.

The proposed ordinance cites concerns about public safety, environmental impact, and community well-being as justifications for these new regulations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,South Lake Tahoe,Statistics,"The number of sheltered homeless individuals increased to 149 in 2024, up from 53 in 2023 and 73 in 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,South Lake Tahoe,Past Ordinance,"Public space. 
It is unlawful for any person to place, erect, or maintain any permanent structure for the purposes of camping in any public space. No person shall place, erect, or maintain any temporary structure in any public space for the purpose of camping during daylight hours. Additionally, it shall be unlawful for any person to camp, or to place, erect, or maintain any structure for the purposes of camping, in the following public spaces:

a. Parks
b. Within any public street, right-of-way, or sidewalk within any residential plan
area or within the Tourist Core Area.
c. Within 100 feet of any public transportation stop.
d. Within 100 feet of any permanent campground.
e. Within or below 100 feet above the ordinary high water mark of any lake,
waterway, river, stream, pond, or reservoir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
